order_id,order_date,customer_id,country,category,product,quantity,unit_price,discount_pct,shipping_cost,returned
ORD-000025,2025-02-28,CUST-00585,IT,Toys,Doll,5,142.01,30%,0.34,False
ORD-000026,2024-11-18,CUST-01313,IT,Home,Pillow,3,314.18,0.0,7.3,False
ORD-000027,2024-02-30,CUST-01189,NL,Sports,Football,1,192.03,0.0,4.97,False
ORD-000028,2024-08-08,CUST-00776,FRANCE,Home,Coffee Maker,3,13.54,20.0,13.44,False
ORD-000029,2024-03-20,CUST-01314,BE,Fashion,Sneakers,2,270.53,0.0,9.89,False
ORD-000030,2024-04-13,CUST-00777,FRANCE,Toys,Action Figure,4,47.56,25.0,3.45,True
ORD-000031,2024-09-28,CUST-00889,NL,Toys,Doll,3,332.77,20.0,4.76,False
ORD-000032,2025-01-24,CUST-00063,NL,Toys,Puzzle,,208.45,,14.04,False
ORD-000033,2024-11-14,CUST-00313,BE,Home,Pillow,2,396.99,25.0,11.23,False
ORD-000034,2024-10-26,CUST-00523,DE,Beauty,Moisturizer,,209.95,0.0,11.58,False
ORD-000035,2024-03-10,CUST-00045,UK,Fashion,Jeans,5,299.98,0.0,14.05,False
ORD-000036,2025-06-10,,BE,Grocery,Chocolate,1,333.29,0.0,2.69,False
ORD-000037,2024-05-23,CUST-00607,DE,Fashion,Sneakers,1,127.58,15.0,14.58,False
ORD-000038,2025-12-09,CUST-00171,UK,Electronics,Headphones,1,10.5,0.0,1.98,False
ORD-000039,2025-01-05,CUST-00036,IT,Fashion,Cap,2,279.23,10.0,3.0,False
ORD-000040,2024-02-29,CUST-00557,FRANCE,Sports,Football,4,296.9,0.0,1.86,False
ORD-000041,2024-08-07,CUST-01344,DE,Toys,Lego Set,5,197.99,10.0,14.33,False
ORD-002374,2025-06-12,CUST-00197,DE,Grocery,Pasta,5,14.82,5.0,9.51,False
ORD-000043,2024-11-02,CUST-00605,belgique,Fashion,Jacket,4,386.66,10.0,14.0,False
ORD-000044,2024-07-02,CUST-01115,DE,Electronics,Monitor,3,314.98,0.0,1.64,False
ORD-000045,2024-06-19,CUST-00406,Belgium,Sports,Dumbbells,3,214.65,10.0,13.02,False
ORD-000046,2024-07-19,CUST-00636,NL,Electronics,USB-C Cable,3,152.8,0.0,9.78,False
ORD-000047,2024-06-30,CUST-01234,UK,Home,Chair,3,98.48,15.0,12.25,False
ORD-000048,2025-11-05,CUST-00202,UK,Home,Pillow,1,239.8,0.0,12.37,False
ORD-000049,2025-11-04,CUST-00756,BE,Sports,Yoga Mat,5,70.39,0.0,2.3,False
ORD-000050,2025-01-12,CUST-00953,IT,Sports,Dumbbells,1,26.88,0.0,0.8,False
ORD-000051,2024-10-14,CUST-00751,FR,Grocery,Chocolate,5,130.61,5.0,13.13,False
ORD-004807,2025-11-24,CUST-00583,UK,Sports,Dumbbells,1,76.69,0.0,3.74,False
ORD-000053,2024-02-06,CUST-00150,DE,Grocery,Chocolate,2,152.58,5.0,1.53,False
ORD-000054,2024-06-24,CUST-01371,DE,Electronics,Mouse,1,370.31,0.0,12.65,False
ORD-000055,2025-08-09,CUST-01156,BE,Sports,Water Bottle,2,312.89,10.0,11.68,False
ORD-000056,2025-05-16,CUST-00895,NL,Fashion,Jacket,3,208.12,20.0,6.94,False
ORD-000057,2024-07-13,CUST-00474,NL,Fashion,T-Shirt,2,60.21,5.0,6.25,False
ORD-000058,2024-06-21,CUST-00416,U.K.,Toys,Lego Set,2,149.73,0.0,5.69,False
ORD-000059,2025-11-24,CUST-01344,Netherlands,Toys,Board Game,4,366.96,5.0,4.93,False
ORD-000060,2024-02-22,CUST-00404,FR,Toys,Puzzle,5,262.77,20.0,7.99,False
ORD-000061,2025-06-21,CUST-01333,ES,Toys,Board Game,1,84.95,15.0,12.91,False
ORD-000062,2025-06-12,CUST-00193,UK,Electronics,USB-C Cable,4,42.56,15.0,1.27,False
ORD-000063,2025-12-01,CUST-01303,IT,Sports,Tennis Racket,5,321.35,10.0,11.74,0
ORD-000064,2024-05-02,CUST-00240,IT,Electronics,Keyboard,5,105.09,10.0,1.43,False
ORD-000065,2025-02-16,CUST-01288,BE,Fashion,Jeans,1,231.11,5.0,7.84,False
ORD-000066,2025-07-28,CUST-00164,FR,Fashion,Jacket,4,199.4,10.0,13.97,no
ORD-000067,2024-03-05,CUST-01023,UK,Beauty,Shampoo,4,264.86,0.0,11.61,False
ORD-000068,2025-01-24,,DE,Fashion,Jacket,2,359.85,15.0,4.06,False
ORD-000069,2024-04-25,CUST-00179,DE,Electronics,Monitor,2,63.37,25.0,6.57,False
ORD-000070,2024-04-12,CUST-00527,BE,Beauty,Perfume,4,223.43,25.0,11.7,False
ORD-000071,2025-12-22,CUST-01229,BE,Home,Coffee Maker,4,288.52,,1.78,False
ORD-000072,2024-03-10,,FRANCE,Grocery,Pasta,4,53.16,10.0,10.29,True
ORD-000073,2025-08-26,CUST-00722,IT,Fashion,T-Shirt,,121.67,5.0,6.63,False
ORD-000074,2025-05-15,CUST-00398,NL,Fashion,Cap,5,313.61,0.0,14.96,False
ORD-000075,2025-09-03,CUST-00873,DE,Grocery,Coffee Beans,4,47.04,30.0,9.99,False
ORD-000076,2025-09-16,CUST-01087,UK,Fashion,T-Shirt,1,359.33,0.0,3.61,False
ORD-000077,2024-05-24,CUST-00219,UK,Home,Vacuum,5,364.7,10.0,0.54,True
ORD-000078,2024-06-28,CUST-00081,UK,Toys,Board Game,1,244.34,20.0,3.58,False
ORD-000079,2025-08-08,CUST-00625,UK,Electronics,Keyboard,4,371.48,15.0,10.47,False
ORD-000080,2025-02-04,CUST-00882,BE,Fashion,Jeans,1,84.7,0.0,7.57,FALSE
ORD-000081,,CUST-00140,IT,Home,Vacuum,,66.31,15.0,2.9,False
ORD-000082,2024-01-04,CUST-00060,DE,Fashion,Cap,4,392.18,10.0,0.82,False
ORD-000083,2024-02-30,CUST-00527,NL,Toys,Board Game,2,285.28,0.0,1.38,False
ORD-000084,2024-11-22,CUST-00204,de,Grocery,Coffee Beans,5,186.13,30%,,False
ORD-000085,2025-11-22,CUST-00620,ES,Toys,Puzzle,2,124.03,10.0,10.5,False
ORD-000086,2024-04-04,CUST-00167,FR,Beauty,Razor,5,63.63,5.0,6.06,False
ORD-000087,2024-04-08,CUST-00561,de,Electronics,Monitor,5,114.84,0.0,6.42,False
ORD-000088,2025-03-15,CUST-00444,ES,Electronics,Monitor,4,167.67,0.0,3.26,False
ORD-000089,2024-01-27,CUST-00491,DE,Beauty,Razor,5,170.27,5.0,3.38,False
ORD-000090,2024-06-29,CUST-01102,Netherlands,Toys,Action Figure,3,282.29,10.0,9.79,False
,2025-02-05,CUST-01131,IT,Home,Vacuum,2,175.41,10.0,5.41,False
ORD-000092,2024-07-15,CUST-01120,DE,Beauty,Shampoo,4,355.13,25.0,7.55,False
ORD-000093,2024-08-17,CUST-01216,FR,Grocery,Tea,2,335.77,5.0,1.74,False
ORD-000094,2025-06-18,CUST-00440,BE,Toys,Puzzle,5,26.95,0.0,5.01,False
ORD-000095,2025-06-26,CUST-00993,UK,Fashion,T-Shirt,1,10.8,20.0,12.85,False
ORD-000096,2024-02-26,CUST-01393,FR,Grocery,Chocolate,1,242.33,0.0,5.47,False
ORD-000097,2025-07-18,CUST-01295,IT,Sports,Dumbbells,3,127.83,10.0,10.58,False
ORD-000098,2025-06-04,CUST-00233,NL,Toys,Board Game,4,9.24,0.0,7.88,False
ORD-000099,2025-09-03,CUST-00911,NL,Home,Pillow,3,395.71,150,12.59,False
ORD-000100,2024-01-31,,IT,Fashion,Jeans,1,182.06,0.0,1.2,False
ORD-000101,2024-12-09,CUST-00885,FR,Home,Coffee Maker,3,64.52,0.0,13.61,True
ORD-000102,2024-01-11,CUST-00118,NL,Home,Pillow,2,120.36,5.0,8.8,False
ORD-000103,2024-06-27,CUST-01112,UK,Fashion,Jeans,2,338.22,10.0,9.74,False
ORD-000795,2025-11-11,CUST-01182,NL,Sports,Tennis Racket,4,27.95,0.0,,False
ORD-000105,2024-12-18,CUST-00427,IT,Grocery,Chocolate,2,308.61,20.0,7.57,False
ORD-000106,2025-01-12,CUST-00147,FR,Electronics,USB-C Cable,3,340.86,0.0,7.48,False
ORD-000107,2024-10-18,,DE,Toys,Action Figure,1,367.35,10.0,2.66,False
ORD-000108,2024-04-14,CUST-00838,FR,Toys,Action Figure,1,14.81,25.0,6.72,False
ORD-000109,2024-01-06,CUST-01124,FR,Home,Vacuum,3,114.82,15.0,9.51,False
ORD-000110,2024-07-27,CUST-01348,ES,Fashion,Sneakers,4,193.61,15.0,13.55,False
ORD-000111,2025-07-25,CUST-00909,,Sports,Tennis Racket,4,347.39,0.0,10.99,False
ORD-000112,2025-08-23,CUST-01027,DE,Grocery,Pasta,3,263.37,30.0,14.77,False
ORD-000113,2025-07-02,CUST-01348,ES,Toys,Puzzle,5,141.86,0.0,0.61,False
ORD-000114,2024-02-24,CUST-01111,belgique,Grocery,Pasta,3,394.29,5.0,14.67,False
ORD-000115,2024-03-03,CUST-00334,DE,Home,Coffee Maker,4,224.41,20.0,13.87,False
ORD-000116,2025-07-11,CUST-00998,ES,Electronics,USB-C Cable,1,152.22,0.0,1.64,False
ORD-000117,2025-07-19,CUST-01271,NL,Fashion,Jacket,4,346.86,15.0,12.01,True
ORD-000118,2024-07-11,CUST-00948,NL,Beauty,Sunscreen,2,250.65,20.0,0.07,False
ORD-000119,2024-01-22,CUST-00581,DE,Grocery,,3,163.54,25.0,10.07,False
ORD-000120,2024-11-24,CUST-00556,BE,Home,Pillow,5,142.47,20.0,4.48,False
ORD-000121,2024-07-19,CUST-00630,U.K.,Grocery,Tea,1,355.19,0.0,1.27,False
ORD-000122,2025-01-25,CUST-00192,Netherlands,Toys,Puzzle,4,323.94,30.0,4.45,
ORD-000123,2024-02-30,CUST-00694,FR,Toys,Doll,1,399.04,15.0,8.93,False
ORD-000124,2024-09-13,CUST-00283,FRANCE,Beauty,Moisturizer,5,201.28,0.0,5.48,False
ORD-000125,2024-01-13,CUST-01242,Netherlands,Beauty,Sunscreen,3,184.05,10.0,5.15,False
ORD-000126,2024-10-09,CUST-00329,ES,Grocery,Pasta,5,302.03,5.0,4.27,False
ORD-000127,2024-08-25,CUST-00868,NL,Toys,Board Game,3,364.08,5.0,,False
ORD-000128,2024-09-10,CUST-01224,UK,Sports,Football,4,123.26,0.0,4.84,False
ORD-000129,2024-07-26,,UK,Grocery,Pasta,1,226.79,20.0,11.76,False
ORD-000130,2024-07-14,CUST-01102,Netherlands,Electronics,Monitor,3,397.91,10.0,,False
ORD-000131,2024-05-15,CUST-01091,BE,Electronics,Headphones,3,227.06,0.0,9.79,False
ORD-000132,2024-08-02,CUST-00058,FR,Beauty,Razor,3,176.02,0.0,14.4,False
ORD-000133,2024-06-28,CUST-00067,UK,Sports,Football,1,30.88,5.0,7.74,False
ORD-000134,2024-11-24,,UK,Fashion,Jeans,1,49.08,0.0,0.91,False
ORD-000135,2024-08-08,CUST-00581,FR,Grocery,Olive Oil,5,160.68,0.0,0.02,False
ORD-000136,2024-10-26,CUST-00604,NL,Toys,Puzzle,5,5.49,5.0,7.34,False
ORD-000137,2025-07-24,CUST-01279,ES,Toys,Action Figure,3,337.28,0.0,4.84,False
ORD-000138,2024-12-18,CUST-00068,ES,Electronics,Monitor,3,274.89,0.0,4.96,False
ORD-000139,2024-12-02,CUST-00029,FR,Home,Lamp,3,286.07,0.0,0.71,False
ORD-000140,2025-05-31,CUST-00868,UK,Fashion,Cap,5,8.66,0.0,0.47,False
ORD-000141,2024-06-25,CUST-00393,FR,Home,Coffee Maker,3,229.84,10.0,12.74,True
ORD-000142,2024-07-31,CUST-00356,BE,Home,Lamp,5,249.55,0.0,11.59,False
ORD-000143,2025-11-02,CUST-01028,BE,Fashion,Sneakers,2,184.51,10.0,14.77,False
ORD-000144,2025-01-11,CUST-00580,Belgium,Electronics,Headphones,5,130.77,20.0,9.01,False
ORD-000145,2024-08-20,CUST-00983,DE,Grocery,Tea,4,35.85,0.0,5.2,True
ORD-000146,2024-03-31,CUST-01246,DE,Toys,Puzzle,1,291.45,15.0,11.08,False
ORD-000147,2025-03-10,CUST-01112,ES,Toys,Puzzle,1,54.78,0.0,10.4,False
ORD-000148,2025-02-26,CUST-00818,FR,Grocery,Olive Oil,3,396.75,0.0,0.25,False
ORD-000149,2024-04-02,CUST-00256,NL,Grocery,Coffee Beans,2,359.43,20.0,8.04,False
ORD-000150,2025-12-14,CUST-01170,IT,Beauty,Perfume,2,24.96,10.0,4.42,TRUE
ORD-000151,2024-01-14,CUST-00867,DE,Sports,Water Bottle,1,240.31,0.0,13.11,False
ORD-000152,2025-07-11,CUST-00794,FR,Sports,Yoga Mat,4,,0.0,10.16,False
ORD-000153,2025-07-08,CUST-00050,IT,Fashion,Cap,2,393.45,0.0,7.72,True
ORD-000154,2025-04-25,CUST-00553,IT,Grocery,,4,210.49,0.0,1.41,False
ORD-000155,2025-05-13,CUST-01287,de,Beauty,Moisturizer,1,64.0,-10,2.68,False
ORD-000156,2025-13-40,CUST-01229,UK,Beauty,Perfume,5,365.47,0.0,free,False
ORD-000157,2024-10-04,CUST-01329,DE,Grocery,Chocolate,4,209.22,15.0,10.97,False
ORD-000158,2025-01-02,CUST-00140,ES,Beauty,Razor,,46.32,25.0,12.98,False
ORD-000159,2024-05-29,CUST-01127,NL,Sports,Yoga Mat,1,298.72,0.0,14.69,False
ORD-001266,2025-02-21,CUST-00813,NL,Sports,Water Bottle,4,355.59,0.0,4.79,False
ORD-000161,2024-10-26,,FR,Sports,Tennis Racket,2,242.7,25.0,7.01,False
ORD-000162,2024-02-04,CUST-00475,,Home,,2,160.67,0.0,2.44,False
ORD-000163,2025-11-29,CUST-00482,FR,Fashion,Jeans,1,101.22,0.0,11.3,False
ORD-000164,2024-11-28,CUST-00363,IT,Toys,Doll,2,84.82,0.0,7.83,False
ORD-000165,2024-02-03,CUST-01237,belgique,Toys,Board Game,1,195.19,25.0,9.79,False
ORD-000166,2025-07-18,CUST-01262,ES,Beauty,Perfume,1,104.71,0.0,11.47,False
ORD-000167,2025-12-20,CUST-01317,BE,Fashion,Cap,1,393.03,25.0,1.08,False
ORD-000168,2024-10-21,CUST-00759,ES,Electronics,Keyboard,2,223.39,0.0,12.69,False
ORD-000169,2024-04-30,CUST-00734,FR,Home,Vacuum,3,105.04,0.0,12.78,TRUE
ORD-000170,2024-01-23,CUST-01081,ES,Electronics,,4,121.93,0.0,6.07,False
ORD-000171,2024-05-31,CUST-00539,UK,Beauty,Shampoo,1,376.91,0.0,13.44,False
ORD-000172,2024-05-15,CUST-00344,NL,Home,Vacuum,2,339.36,0.0,6.2,False
ORD-000173,2025-06-03,CUST-01008,UK,Electronics,Keyboard,5,341.28,20.0,5.09,False
ORD-000174,2024-01-03,,UK,Sports,Water Bottle,2,101.69,0.0,14.1,False
ORD-000175,2025-01-13,CUST-00506,BE,Sports,Dumbbells,2,198.79,5.0,8.05,False
ORD-000176,2024-04-17,CUST-00229,,Fashion,,1,54.64,25.0,7.23,False
ORD-000177,2025-02-09,CUST-00220,IT,Sports,Football,2,87.05,0.0,0.45,False
ORD-000178,2025-01-21,CUST-00745,ES,Grocery,Pasta,5,132.01,10.0,6.98,False
ORD-000179,2024-05-16,CUST-01175,UK,Sports,Football,4,395.5,20.0,11.12,False
ORD-000180,2024-02-11,CUST-01112,ES,Electronics,USB-C Cable,1,368.66,0.0,0.75,False
ORD-000181,2025-03-31,CUST-00743,NL,Home,Coffee Maker,4,301.58,20.0,3.18,False
ORD-000182,2025-10-03,CUST-00087,IT,Home,Coffee Maker,3,257.41,0.0,14.9,False
ORD-000183,2024-11-30,CUST-00215,BE,Beauty,Shampoo,2,55.97,0.0,9.48,False
ORD-001016,2025-04-26,CUST-00839,,Electronics,Monitor,5,131.07,15.0,6.92,False
ORD-000185,2024-12-11,CUST-01380,DE,Sports,Water Bottle,1,380.27,0.0,2.66,False
ORD-000186,2024-07-22,CUST-01388,DE,Electronics,Headphones,5,20.9,0.0,13.39,False
ORD-000187,2025-01-23,CUST-01028,ES,,Jacket,3,265.7,0.0,14.21,False
ORD-000188,2025-06-14,,DE,Fashion,Jacket,4,164.24,5.0,10.8,False
ORD-000189,2024-11-02,,UK,Grocery,Olive Oil,2,260.59,0.0,6.12,False
ORD-000190,2024-08-10,CUST-00028,NL,Electronics,Monitor,1,41.23,10.0,9.83,False
ORD-000191,2024-08-26,CUST-01278,Netherlands,Grocery,Tea,5,83.13,15.0,12.91,False
ORD-001929,2024-07-24,CUST-00944,DE,Home,Chair,4,56.1,0.0,,False
ORD-000193,2025-10-27,CUST-00815,BE,Sports,Yoga Mat,5,85.0,5.0,-5.0,False
ORD-000194,2025-01-14,CUST-00560,FR,Grocery,Olive Oil,4,105.77,10.0,4.81,0
ORD-000195,2025-05-16,CUST-00508,NL,Grocery,Coffee Beans,3,14.17,0.0,13.13,FALSE
ORD-000196,2025-05-30,CUST-00686,UK,Grocery,Pasta,3,374.7,,4.83,False
ORD-000197,2025-04-07,CUST-00443,NL,Beauty,Perfume,3,136.97,,13.69,False
ORD-000198,2024-03-17,CUST-00673,de,Toys,Puzzle,5,391.39,15.0,11.47,False
ORD-000199,2024-11-29,CUST-00647,IT,Toys,Action Figure,,99.89,10.0,4.34,FALSE
ORD-000200,2025-02-21,CUST-00235,NL,Grocery,Coffee Beans,3,166.94,0.0,12.24,False
ORD-000201,2024-01-06,CUST-00980,BE,Beauty,Perfume,2,137.77,20.0,12.59,False
ORD-000202,2025-11-22,CUST-00216,UK,Home,Lamp,4,50.7,0.0,14.98,False
ORD-000367,2024-11-05,CUST-01313,ES,Toys,Action Figure,1,249.77,,14.71,False
ORD-000204,2024-11-26,CUST-00157,IT,Electronics,Monitor,1,317.34,0.0,13.27,FALSE
ORD-000205,2025-08-31,CUST-00413,UK,Fashion,Jacket,4,74.66,0.0,8.28,False
ORD-000206,2024-03-18,CUST-00134,NL,Toys,Doll,,262.81,30.0,14.99,False
ORD-000207,2025-06-16,CUST-00294,DE,Fashion,Jacket,4,-9.99,0.0,6.92,False
ORD-000208,2025-10-24,CUST-01149,BE,Sports,Yoga Mat,1,270.54,0.0,11.81,False
ORD-000209,2024-10-31,CUST-00311,DE,Fashion,Jeans,,132.01,15.0,12.02,False
ORD-000210,2024-08-13,CUST-00747,belgique,Grocery,Chocolate,5,61.84,20.0,1.44,False
ORD-000211,2024-02-19,CUST-00139,ES,Fashion,Sneakers,2,25.86,0.0,6.54,False
ORD-000212,2024-02-17,CUST-01205,BE,Electronics,Keyboard,1,-120.0,20.0,2.52,False
ORD-000213,2025-08-24,CUST-00764,FR,Beauty,Razor,2,217.88,20.0,1.39,False
ORD-000214,2025-06-06,CUST-00651,DE,Electronics,USB-C Cable,4,106.69,15.0,7.56,False
ORD-000215,2024-09-25,CUST-01063,BE,Electronics,USB-C Cable,2,91.58,0.0,11.27,False
ORD-000216,2025-05-26,CUST-01386,DE,Electronics,Keyboard,1,74.64,0.0,12.35,False
ORD-000217,2024-04-10,CUST-01334,BE,Home,Vacuum,5,263.15,0.0,,False
ORD-000218,2025-11-22,CUST-00405,DE,Electronics,Mouse,5,349.78,0.0,3.31,False
ORD-000219,2025-06-21,,UK,Sports,Water Bottle,2,,5.0,12.43,False
ORD-000220,2024-07-29,CUST-00586,de,Electronics,USB-C Cable,1,24.54,10.0,7.29,False
ORD-000221,2025-07-08,CUST-00186,BE,Electronics,Mouse,2,331.51,5.0,5.78,False
ORD-000222,2024-09-21,CUST-00002,UK,Electronics,Headphones,3,129.33,5.0,10.15,False
ORD-000223,2024-06-04,CUST-00133,ES,Fashion,Sneakers,1,358.33,10.0,2.58,False
ORD-000224,2024-12-12,CUST-00820,UK,Grocery,Tea,3,193.06,30%,,False
ORD-000225,2024-05-22,CUST-00147,UK,Fashion,Sneakers,3,273.41,0.0,1.49,False
ORD-000226,2024-09-08,CUST-00505,Belgium,Grocery,Coffee Beans,3,74.57,0.0,12.9,1
ORD-000227,2024-02-10,CUST-01121,U.K.,Electronics,Headphones,2,146.16,0.0,9.16,False
ORD-000228,2024-12-02,CUST-00867,BE,Fashion,Jeans,-1,372.22,,1.61,False
ORD-000229,2024-03-30,CUST-00201,DE,Sports,Tennis Racket,3,341.69,15.0,12.3,False
ORD-000230,2024-03-04,CUST-00808,IT,Electronics,Mouse,5,22.45,0.0,4.86,False
ORD-000231,2025-08-12,CUST-00406,DE,Electronics,Headphones,5,72.28,30.0,7.48,False
ORD-000232,2025-04-23,CUST-00450,BE,Toys,Board Game,5,155.39,0.0,8.77,False
ORD-000233,2024-05-21,CUST-00933,ES,Fashion,Jeans,2,45.8,20.0,8.84,False
ORD-000234,2025-06-17,CUST-00548,UK,Beauty,Sunscreen,3,175.45,10.0,13.9,False
ORD-000235,2024-08-28,CUST-00491,FR,Beauty,Shampoo,4,183.16,5.0,6.93,False
ORD-000236,2024-08-11,CUST-00233,Belgium,Home,Lamp,3,131.68,0.0,5.68,False
ORD-000237,2025-06-12,CUST-00745,,Fashion,Cap,3,158.69,0.0,8.44,False
ORD-000238,2025-12-26,CUST-00074,UK,Fashion,Jacket,2,331.58,25.0,8.96,False
ORD-000239,2025-11-22,CUST-00863,BE,Electronics,Keyboard,4,160.03,25.0,8.68,True
ORD-000240,2024-04-20,,IT,,Dumbbells,1,273.77,5.0,,False
ORD-000241,2024-12-28,,belgique,Grocery,Chocolate,,188.97,0.0,11.8,False
ORD-000242,2024-11-13,CUST-01085,UK,Sports,Football,5,152.36,5.0,4.06,False
ORD-000243,2024-12-29,CUST-01192,ES,Sports,,1,216.91,30.0,14.45,False
ORD-000244,2024-10-11,CUST-01135,Belgium,Grocery,Olive Oil,1,239.74,20.0,5.62,False
ORD-000245,2024-12-18,CUST-01308,NL,Sports,Dumbbells,3,227.94,30.0,9.11,False
ORD-000246,2024-02-20,CUST-00398,ES,Electronics,Headphones,-3,169.96,0.0,11.92,False
ORD-000247,2024-08-10,CUST-00607,DE,Beauty,Razor,4,350.36,,7.81,False
ORD-000248,2024-04-09,CUST-00057,FR,Toys,Puzzle,4,,10.0,5.65,False
ORD-000249,2024-12-03,CUST-00689,NL,Beauty,Shampoo,3,211.29,0.0,,False
ORD-000250,2024-10-30,CUST-01364,BE,Toys,Doll,2,43.24,25.0,6.07,False
ORD-000251,2024-02-29,CUST-00188,NL,Sports,Yoga Mat,2,262.41,20.0,9.51,False
ORD-000252,2025-04-27,CUST-00057,BE,,Moisturizer,3,19.18,5.0,14.9,False
ORD-000253,2025-05-30,CUST-01066,FR,Sports,Tennis Racket,2,124.2,25.0,0.68,False
ORD-000254,2025-06-11,CUST-00749,ES,Grocery,Olive Oil,5,51.41,0.0,free,False
ORD-000255,2025-10-31,CUST-00241,DE,Fashion,Sneakers,1,,0.0,6.68,False
ORD-000256,2024-05-26,CUST-00132,BE,Beauty,Moisturizer,5,127.71,0.0,4.29,False
ORD-000257,2025-09-25,CUST-00507,IT,Beauty,Sunscreen,4,284.6,20.0,14.64,False
ORD-000258,2025-12-06,CUST-01258,FR,Home,Pillow,5,55.14,,8.19,False
ORD-000259,2025-12-11,CUST-00392,NL,Beauty,Perfume,2,283.41,5.0,6.85,False
ORD-000260,2025-06-13,CUST-00625,BE,Electronics,Monitor,2,159.65,0.0,1.16,False
ORD-000261,2025-11-11,CUST-00396,de,Toys,Puzzle,1,246.83,0.0,2.36,False
ORD-000262,2024-01-30,,FR,Electronics,USB-C Cable,5,91.39,5.0,14.04,False
ORD-000263,2024-02-05,CUST-00510,U.K.,Beauty,Moisturizer,3,65.67,0.0,2.93,False
ORD-000264,2025-09-22,CUST-00865,IT,Home,Pillow,5,217.2,10.0,free,False
ORD-000265,2025-09-23,CUST-00570,IT,Sports,Football,4,379.79,0.0,1.36,False
ORD-000266,2024-11-05,CUST-00256,FRANCE,Electronics,USB-C Cable,3,378.55,0.0,11.56,False
ORD-000267,2024-08-22,CUST-01074,NL,Sports,Tennis Racket,4,263.01,10.0,6.52,False
ORD-000268,2025-03-06,CUST-00697,UK,Electronics,Monitor,4,71.7,25.0,2.82,False
ORD-000269,2025-01-14,CUST-00718,FR,Toys,Puzzle,3,205.74,0.0,14.92,False
ORD-000270,2025-06-10,CUST-00893,DE,Sports,Dumbbells,3,171.6,0.0,8.89,False
ORD-000271,2024-02-07,CUST-01004,NL,Toys,Lego Set,4,392.65,5.0,13.45,False
ORD-000272,2024-11-29,CUST-00893,DE,Grocery,Tea,1,329.77,10.0,11.73,False
ORD-000273,2025-09-17,CUST-01301,UK,Fashion,Sneakers,1,254.27,0.0,9.94,False
ORD-000274,2024-02-03,CUST-01031,ES,Toys,Puzzle,5,151.51,0.0,12.18,False
ORD-000275,2024-12-02,CUST-00524,IT,Fashion,Jeans,3,90.12,15.0,1.97,False
ORD-000276,2024-03-13,CUST-01338,ES,Beauty,Moisturizer,4,300.17,25.0,,False
ORD-000277,2024-04-22,CUST-01018,NL,Toys,Doll,5,83.08,0.0,7.94,False
ORD-000278,2025-08-09,CUST-00207,BE,Sports,Water Bottle,4,284.72,0.0,5.37,False
ORD-000279,2024-07-18,CUST-00209,ES,Fashion,Cap,2,126.79,0.0,8.25,False
ORD-000280,2024-05-30,CUST-00628,ES,Sports,Water Bottle,1,195.04,15.0,11.22,False
